original_text,label_name
I ordered online weeks ago and I never received my package in the mail and I don't want to wait any more. So if I could get my money back now that would be great.,request_refund
Can I use my card anywhere?,card_acceptance
Do you have the best exchange rate?,exchange_rate
"Is my card working? It's the first time I tried using it I tried to get money out of an ATM, but got nothing.",declined_cash_withdrawal
There is a payment in my app that I did not make.  I have not used that card all day  Please reimburse my money.,direct_debit_payment_not_recognised
is there a reason i need to verify top up,verify_top_up
"I put some money in my account the other day and it's not gone in yet, can you help with this?",balance_not_updated_after_cheque_or_cash_deposit
Can I change my details because I moved?,edit_personal_details
A transaction shows duplicate times.,transaction_charged_twice
"I have received my card, can you help me put it in the app?",card_linking
Can I use this app to exchange between dollars and pounds?,exchange_via_app
"The transfer keeps failing - I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, I have no idea why",failed_transfer
How do I delete an account?,terminate_account
Why is my top-up showing as reverted?,top_up_reverted
Are you able to explain the restrictions of the disposable cards?,disposable_card_limits
"I am traveling, what can I do to set up auto top-up?",automatic_top_up
What are the exchange rates you assign?,exchange_rate
There are a couple of payments with my card shown in the app that in reality I didn't make. Maybe someone has access to my card?Can you check whats the issue ?,card_payment_not_recognised
I want to have an item refunded can I do that?,request_refund
"
At which ATMs can I use this card?",atm_support
I have a pending payment on my card.  Why?,pending_card_payment
I need assistance to activate the card on my account.,activate_my_card
Why has my money disappeared? I topped up earlier and seen it was there and had went through. What seems to be the problem?,top_up_reverted
Do I get charged if I get money?,top_up_by_bank_transfer_charge
It's requiring me to verify my identity?,why_verify_identity
I need a physical card.  What are the fees?,order_physical_card
someone is using my account,compromised_card
How do I switch to a different currency?,exchange_via_app
Please give me both a visa and a mastercard.,visa_or_mastercard
"I deposited a cheque, but my account balance stayed the same.",balance_not_updated_after_cheque_or_cash_deposit
What do I need to show who I am?,verify_my_identity
"There's a weird payment showing in my app that I definitely haven't made myself, as I haven't used the card at all that day. Please cancel that and return my money.",direct_debit_payment_not_recognised
I would like my card activated.,activate_my_card
I'm not verifying my identity.,why_verify_identity
Is there a way to see my money's source?,verify_source_of_funds
Someone might be using my card.  What should I do?,compromised_card
How long does it take for the money to show up in my account?,transfer_timing
Hello. I checked my transactions and saw I was double charged for a restaurant visit. Can I get my money back?,transaction_charged_twice
What are the acceptable currencies for adding funds?,supported_cards_and_currencies
The app doesn't recognize me.,unable_to_verify_identity
How long are deliveries to the US?,card_delivery_estimate
Why can't I see my funds after I topped up?,pending_top_up
"I made a mistake when sending a payment, sending it to the wrong account number (with a typo) - can you please cancel the transaction?",cancel_transfer
can i get a physical card online,order_physical_card
"I am unable to activate my card, it won't let me.",activate_my_card
What is the age to open an account?,age_limit
"After inputting the wrong pin too many times, can you now help me unblock my pin?",pin_blocked
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,card_payment_wrong_exchange_rate
I made a terrible mistake when typing in my account number.  I accidently sent money to the wrong account.  I noticed the app won't allow me to void the transaction.  Can someone help me with this immediately?,cancel_transfer
What flat currencies do you support for holding and exchange?,fiat_currency_support
How long does an item I bought show as pending?,pending_card_payment
I was mistakenly charged a fee for using my card.,card_payment_fee_charged
cancel my account,terminate_account
I only have a card from the US is that okay?,supported_cards_and_currencies
How can I change to my married name?,edit_personal_details
Why are all my card payments being declined?,declined_card_payment
I keep trying to use my card to buy some things and you keep declining it. Why? I've tried multiple times to make it go through but it won't.,declined_card_payment
I live in the EU.  Can I order one of your cards?,country_support
i put money on my card and i dont see it on the balance,pending_top_up
Can my children get an account?,age_limit
Why was my card payment declined?,declined_card_payment
I made a payment that is not yet complete.,pending_card_payment
You provide support in what countries?,country_support
do I need to verify my identity every time I log into my account?,why_verify_identity
How is my ATM deposit not available yet?,pending_cash_withdrawal
Can currencies be exchanged on this app?,exchange_via_app
HOW DO I TRANSFER MONEY FROM MY BANK ACCOUNT?,transfer_into_account
Can I get a card that works in other countries like Africa and Indonesia?,country_support
how long dies it take for transfers to reflect on my balance,transfer_timing
I made a payment with my card and it hasn't changed. How long do you think this will take?,pending_card_payment
Still waiting on a refund.,Refund_not_showing_up
How far is the closest ATM from me?,atm_support
The atm won't give my card back!,card_swallowed
How do I add money to my card?,topping_up_by_card
Do I have to pay extra if I use an international card to top up my account?,top_up_by_card_charge
"I'm not certain, but someone may be using my card.",compromised_card
"please delete my account, your services are not up to par.",terminate_account
I'd like to make a new PIN selection.,change_pin
A transfer is pending.,pending_transfer
I keep being asked to verify my identity. Is this normal?,why_verify_identity
How do I retrieve my card from the machine?,card_swallowed
How do I get my card back quickly from a bank machine that it?,card_swallowed
I would like to add money to my account through my American Express.,supported_cards_and_currencies
Are there any fees for adding money with an international card?,top_up_by_card_charge
There's a cash withdrawal I am certain I did not make,cash_withdrawal_not_recognised
Are you able to unblock my pin?,pin_blocked
Where's the money from my transfer from Europe?,transfer_timing
What do I do if my phone is stolen?,lost_or_stolen_phone
I need to cancel a transaction on my debit card.,direct_debit_payment_not_recognised
Why am I charged a fee for withdrawing cash?,cash_withdrawal_charge
Why did I only get $20 when I tried to get $100,wrong_amount_of_cash_received
How can I periodically check the delivery of the card you sent?,card_arrival
Why would my beneficiary not be allowed?,beneficiary_not_allowed
"How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay",balance_not_updated_after_bank_transfer
My payment is in the app but hasn't gone through yet,pending_card_payment
"If I see a payment in the app that I don't recognize, what should I do?",card_payment_not_recognised
What is the time frame that it usually takes for a transfer to come through? I have a friend needing it immediately but it has yet to come through.,transfer_not_received_by_recipient
Can the card was sen to me be tracked?,card_arrival
Why am I being charged a fee for using my card? If there is some print out of places that charge me can you please send me that?,card_payment_fee_charged
How long does it take for a refund to appear?,Refund_not_showing_up
How quickly can I transfer something to China?,transfer_timing
Why wasn't my bank balance updated?,balance_not_updated_after_bank_transfer
My app is showing a payment that I know I did not do. Can you please cancel that transaction and credit my account please?,direct_debit_payment_not_recognised
Can am I able to exchange currencies?,exchange_via_app
What do I need to do in order to use my card I just got?,activate_my_card
What places accept my card?,card_acceptance
I made a purchase earlier today but it is still listed as pending- when will it go through?,pending_card_payment
An ATM machine didn't return my card.,card_swallowed
Can I get an update on my replacement card?,card_arrival
